NULL;NULL;NULL;3964,8;19980,981;10,915;1418,938;12341,714;119,666;3554,801
NULL;NULL;NULL;7;7;7;7;0;0;0
NULL;NULL;NULL;1640,76;8283,783;2750,795;2771,378;5680,895;62,802;1499,327
MBA em Gestão Departamento Pessoal e Rotinas Trabalhistas;C;F;298;703,092;703,092;703,092;345,392;7,014;112,286
NULL;NULL;NULL;2942,75;9357,284;318,019;1879,332;5118,753;67,822;1928,999
Direito;I;F;226,5;226,5;75,5;75,5;0;0;0
Engenharia Civil;C;M;829,26;829,26;86,11;104,2;0;0;0
NULL;NULL;NULL;2734,6;15041,788;2982,891;3036,267;9703,641;104,67;2498,878
NULL;NULL;NULL;990,41;2120,194;21,831;1475,048;710,738;0;419,047
Direito;S;F;3869,64;13142,878;74,964;2634,149;6945,38;120,05;2207,808
Administração;C;F;503,76;503,76;83,96;83,96;0;0;0
Engenharia Civil;S;F;312,6;312,6;104,2;104,2;0;0;0
NULL;NULL;NULL;2411,95;6456,477;338,918;1635,518;3679,745;50,866;1440,595
NULL;NULL;NULL;1093,84;5912,405;2950,795;2961,61;3777,146;41,868;999,551
NULL;NULL;NULL;494,46;617,657;617,657;617,657;75,784;10,625;36,788
Ciências Contábeis;S;M;2171,99;2973,454;246,661;617,835;308,578;46,365;146,231
NULL;NULL;NULL;1421,42;4804,857;10,289;1246,762;2520,503;29,03;1033,904
NULL;NULL;NULL;3532,2;10075,652;10,289;2263,188;4390,105;59,67;2093,678
Direito;S;F;453;453;75,5;75,5;0;0;0
Direito;S;F;226,5;226,5;75,5;75,5;0;0;0
Engenharia Civil;NULL;F;3473,82;5773,434;83,078;1053,807;1554,37;51,418;693,826
Direito;S;F;277,38;631,849;631,849;631,849;247,459;7,428;94,032
Pedagogia;C;F;526;1021,382;1021,382;1021,382;321,062;13,732;160,588
Direito;E;M;5433,68;6013,301;1481,778;1524,873;279,182;112,434;188,005
NULL;NULL;NULL;1323,76;4423,784;13,111;1165,842;2154,849;26,08;919,095
Direito;S;F;226,5;226,5;37,75;37,75;0;0;0
Pedagogia;S;F;1109,73;2335,835;623,973;865,45;1045,078;25,309;355,719
NULL;NULL;NULL;2384,28;8154,874;10,635;1366,351;5010,265;61,285;1699,044
Direito;S;F;14556,9;28681,768;13,108;3802,213;9329,138;307,548;3999,471
NULL;NULL;NULL;682,4;976,046;11,834;623,984;0;0;293,646
Direito;NULL;F;1523,86;5260,696;2626,547;2634,149;2811,683;48,02;877,134
Direito;S;F;463,08;463,08;31,5;91,36;0;0;0
Engenharia Civil;S;F;199,36;199,36;43,06;52,1;0;0;0
Direito;S;F;75,5;75,5;75,5;75,5;0;0;0
Direito;S;F;274,08;274,08;91,36;91,36;0;0;0
Direito;S;F;453;453;75,5;75,5;0;0;0
Direito;S;F;1611,07;4275,327;462,523;490,073;1807,353;44,601;618,973
Psicologia ;S;F;1119,8;1320,087;319,308;340,766;115,642;23,617;61,028
Psicologia ;S;F;6551,75;5075,944;997,073;1033,424;516,667;89,398;309,53
Psicologia ;S;F;463,74;1238,622;203,691;209,135;576,685;12,979;185,218
NULL;NULL;NULL;3610,96;13005,269;11,542;3766,162;7121,461;94,977;2177,871
Engenharia Civil;S;F;5356,66;16346,784;10,635;3004,14;7920,922;136,912;2932,29
